Time,x,y,orientation,tau_y,tau_z
3.33,2.003320157688521,-0.17621721594072987,-1.663513613564402,0.000274546711143131,-0.008264640021238279
3.34,2.001458245884683,-0.19624124277566415,-1.6735142068252047,0.00029486130777023334,-0.00725215254271383
3.35,1.9993961776730187,-0.2162456552140289,-1.683515006702008,0.00030982256111755646,-0.00621565101832644
3.36,1.9971341549606523,-0.2362284526170868,-1.6935159878826247,0.00031961304070016183,-0.005170581813151998
3.37,1.9946724001731913,-0.25618763631037605,-1.7035171244545169,0.0003244708630223414,-0.00413140489619046
3.38,1.9920111562487213,-0.276121209810587,-1.7135183902909543,0.00032468259001383615,-0.0031114724368119795
3.39,1.9891506866210864,-0.29602717905314807,-1.7235197594125142,0.0003205759972146893,-0.00212293073520442
3.4,1.9860912751929445,-0.31590355261990705,-1.7335212063208851,0.0003125127975955877,-0.0011766451240013964
3.41,1.9828332262991657,-0.3357483419663375,-1.7435227063025245,0.00030088143798678857,-0.00028214719516306275
3.42,1.9793768646612202,-0.35555956164774627,-1.7535242357002918,0.0002860900449430659,0.0005523965338483094
3.43,1.9757225353332506,-0.37533522954401216,-1.763525772151739,0.0002685596147244951,0.001320195642140476
3.44,1.971870603640575,-0.39507336708244245,-1.773527294793273,0.0002487175108090156,0.002015827777590573
3.45,1.9678214551113884,-0.41477199945839216,-1.783528784429916,0.00022699133999104504,0.002635213091073396
3.46,1.9635754954024516,-0.4344291558533511,-1.7935302236708643,0.00020380326146707262,0.00317557269635671
3.47,1.9591331502195595,-0.45404286965026525,-1.8035315970314854,0.00017956477234015722,0.0036353728480875702
3.48,1.9544948652335707,-0.4736111786459162,-1.813532891002789,0.00015467200222829547,0.004014256595796795
3.49,1.9496611059927635,-0.4931321252602421,-1.8235340940897715,0.0001295015545910161,0.004312964697827937
3.5,1.9446323578322549,-0.5126037567425367,-1.833535196820339,0.0001044068913547136,0.004533247647264815
3.5100000000000002,1.9394091257811836,-0.5320241253745146,-1.8435361917267892,7.971530107120373e-05,0.004677770563565886
